Order Date,Category,Sub-Category,Region,Ship Mode,Sales,Profit
2021-11-19,Technology,Tables,Central,Same Day,2296.239215700131,-253.6414039043487
2021-04-09,Furniture,Phones,South,Second Class,2300.073796123801,-142.04950516804325
2021-08-19,Office Supplies,Phones,West,Standard Class,273.6760383978444,-5.730214537813612
2021-01-18,Furniture,Accessories,Central,First Class,1185.9491759695143,-107.81566252091476
2021-03-25,Technology,Phones,South,Same Day,1280.4300215408284,-46.495366993701346
2021-04-17,Office Supplies,Tables,South,Same Day,818.4889276277123,132.34811850044264
2021-05-04,Office Supplies,Paper,Central,First Class,165.98186623245562,9.818956123112173
2021-02-27,Furniture,Phones,West,Same Day,642.1298112512246,-87.59841490436102
2021-08-03,Furniture,Paper,Central,Second Class,284.04762181063427,69.03750011234023
2021-08-14,Technology,Accessories,South,First Class,633.7122689954089,61.091504696540355
2021-04-07,Office Supplies,Paper,East,Second Class,2029.0881614108823,-256.5258649023844
2021-04-24,Office Supplies,Tables,West,Same Day,2242.6968053207283,256.7159161166579
2021-05-07,Furniture,Chairs,West,First Class,155.89608559513465,0.21010868092237298
2021-02-17,Office Supplies,Paper,Central,Second Class,789.7697488436615,-75.60519600844532
2021-03-15,Furniture,Phones,West,Second Class,2452.4263865560047,185.07441033393087
2021-02-02,Office Supplies,Accessories,Central,Same Day,1371.7868152566516,193.19145360667318
2021-08-13,Furniture,Tables,West,Standard Class,1584.4579361891479,187.68005942777174
2021-04-22,Technology,Tables,West,Same Day,63.58625059691612,-3.242564227734766
2021-12-06,Technology,Tables,Central,Standard Class,1238.0281364342702,74.21543954391562
2021-12-01,Office Supplies,Phones,Central,First Class,2471.4049098248493,160.80289373030652
2021-09-11,Furniture,Accessories,West,Second Class,969.2045423328553,132.51094924056846
2021-04-07,Furniture,Binders,Central,Standard Class,287.74348866521,-1.7417287233802674
2021-07-28,Technology,Tables,East,First Class,1181.6764658426987,199.8132636326965
2021-03-10,Furniture,Paper,Central,Second Class,2409.3609416810327,243.75200961072426
2021-11-02,Office Supplies,Tables,Central,Standard Class,887.4850032342903,-119.51525993361419
2021-11-08,Technology,Accessories,East,Second Class,2007.3606963767822,137.68809934066547
2021-01-03,Technology,Accessories,Central,Standard Class,2007.1735114720018,390.92682414639046
2021-12-07,Technology,Binders,East,Second Class,560.2083270103947,43.15265977220878
2021-02-09,Office Supplies,Paper,Central,First Class,1136.2508694129688,-90.52362261538218
2021-11-19,Furniture,Paper,West,Standard Class,1803.2231241280467,97.64552058851437
2021-03-26,Furniture,Paper,South,Second Class,1055.7734742641233,161.2993131253029
2021-02-17,Office Supplies,Tables,South,Standard Class,517.9670406575317,-54.88271099309364
2021-06-26,Furniture,Tables,East,Standard Class,2420.3610516757253,428.01575646583694
2021-05-16,Office Supplies,Paper,South,Same Day,1644.3383978669187,-136.49216227916176
2021-12-28,Technology,Accessories,South,Second Class,2170.3766362311035,138.10236083173817
2021-04-10,Office Supplies,Binders,Central,First Class,111.84377660912702,0.48063665986252874
2021-12-15,Technology,Chairs,South,Standard Class,703.91924623828,-35.583464926336035
2021-06-30,Technology,Paper,East,Second Class,1280.0741958005199,139.49353199982707
2021-12-25,Furniture,Binders,West,First Class,215.24915606862672,-29.06792546753646
2021-12-20,Furniture,Binders,South,Same Day,2482.9314896822398,382.4169434135594
2021-08-02,Furniture,Binders,East,Same Day,629.3328706851707,38.24849533937604
2021-04-29,Furniture,Paper,West,Second Class,967.0158467463477,193.70147847610303
2021-12-17,Furniture,Accessories,Central,Second Class,574.3291915254483,33.47611394835021
2021-10-18,Furniture,Paper,West,Standard Class,308.3423719583545,-41.93047168055109
2021-03-18,Furniture,Chairs,East,Second Class,619.5754747303777,-57.34766582279851
2021-06-18,Technology,Binders,South,Same Day,786.4948319828516,132.32133410971358
2021-04-17,Technology,Tables,Central,Second Class,1604.3835563536259,75.06977970996412
2021-11-22,Office Supplies,Phones,Central,First Class,739.0252145596257,19.770187177859057
2021-03-06,Furniture,Phones,Central,Same Day,937.5780643926117,-21.213723275213827
2021-11-28,Office Supplies,Binders,South,Standard Class,64.55996712264806,-2.3358003144364865
2021-11-11,Furniture,Phones,West,Second Class,946.0118585220431,223.59418346146754
2021-10-06,Furniture,Phones,Central,Standard Class,1358.0206551608217,31.489419427897893
2021-07-25,Technology,Paper,West,First Class,446.9388007738007,90.99728200559993
2021-05-27,Technology,Paper,West,Same Day,1513.7111154829188,165.39602237464422
2021-09-29,Office Supplies,Chairs,West,Same Day,768.2235481365894,148.55220067506846
2021-09-11,Technology,Binders,Central,First Class,1598.5237122642334,305.2857674923933
2021-06-08,Office Supplies,Phones,East,Second Class,114.18168286456725,26.55007424097688
2021-06-30,Furniture,Paper,Central,Standard Class,2224.6039781460486,287.36743334751355
2021-03-12,Furniture,Phones,Central,Second Class,89.49064453726609,15.406599662122366
2021-06-04,Furniture,Phones,Central,Standard Class,361.04717603810536,51.72042611822881
2021-07-28,Technology,Tables,Central,Standard Class,1954.0480308479755,179.94971817128496
2021-09-28,Technology,Accessories,South,Same Day,162.44331889531804,22.245256698762
2021-09-13,Technology,Binders,West,Same Day,1791.9467993089995,244.24264364638168
2021-09-02,Technology,Paper,East,Same Day,2429.063044249816,-324.6124133229562
2021-12-26,Technology,Paper,Central,Same Day,2185.623186198653,123.36604558460665
2021-05-10,Office Supplies,Tables,Central,Same Day,1789.8960457357114,299.0210076241824
2021-02-13,Furniture,Paper,West,Same Day,2398.3488704030838,-126.66909633368996
2021-07-06,Technology,Tables,West,First Class,1103.0426778221258,39.774830560227464
2021-12-24,Office Supplies,Binders,West,Second Class,2188.553340088428,52.51277123198069
2021-07-03,Furniture,Chairs,East,Standard Class,922.0962865353558,10.248978244132278
2021-01-26,Furniture,Phones,West,First Class,2327.9209496144244,-235.73502676980942
2021-11-09,Technology,Chairs,East,First Class,414.5052577931538,24.98829050663448
2021-11-02,Furniture,Tables,Central,Same Day,2353.07108657427,67.06098731331981
2021-09-26,Technology,Phones,West,Standard Class,2090.154683343871,241.11418890652524
2021-01-19,Furniture,Phones,Central,Second Class,2122.834353581337,148.10001315863582
2021-01-02,Furniture,Binders,South,Second Class,353.61137431366365,-49.145908864280564
2021-02-21,Office Supplies,Phones,South,Second Class,1511.3929009372555,-207.41268718877393
2021-08-22,Office Supplies,Phones,Central,Second Class,90.16157814603186,11.77004588129152
2021-11-01,Office Supplies,Tables,Central,First Class,1816.9016968239866,241.70687945684537
2021-02-26,Technology,Tables,South,Second Class,68.95690960846468,16.13423798827668
2021-12-09,Technology,Tables,Central,Same Day,257.8145797408224,51.73871264636332
2021-01-04,Office Supplies,Phones,South,Second Class,602.4711056025578,22.42630427912255
2021-03-09,Office Supplies,Binders,West,Standard Class,2194.0551079894003,220.20108543625884
2021-05-20,Technology,Tables,East,Standard Class,940.7619790696527,30.925377916361004
2021-05-30,Technology,Phones,West,Standard Class,1372.9018412707683,-83.50195666039664
2021-04-14,Furniture,Tables,West,Same Day,1441.8528738564971,0.9671933254029031
2021-12-21,Technology,Binders,West,Standard Class,602.3852327496019,-65.32645389154361
2021-01-04,Technology,Phones,Central,Same Day,1451.75958156193,169.29091531445016
2021-09-17,Furniture,Tables,West,Same Day,1669.331897822528,-122.1749669753111
